,Unnamed: 0,Date,Oil,Gas,Water,Tubing Pressure,Casing Pressure,Well,Months,EUR_OIL,EUR_GAS,LENGTH,PROP_FT,FLUID_FT,X,Y
0,0,2012-04-01,8266.000000000002,41330.0,13540.0,0,2765,Foraker_1H,0,56,1055,10200,1800,1980,35.5,102.4
1,1,2012-05-01,45397.60000000001,226988.0,18588.9999998,0,8000,Foraker_1H,1,56,1055,10200,1800,1980,35.5,102.4
2,2,2012-06-01,41113.60000000001,205568.0,9337.8999997,0,8775,Foraker_1H,2,56,1055,10200,1800,1980,35.5,102.4
3,3,2012-07-01,39256.8,196284.0,6746.099999699999,0,11005,Foraker_1H,3,56,1055,10200,1800,1980,35.5,102.4
4,4,2012-08-01,27467.400000000005,137337.0,4779.3999998,0,22660,Foraker_1H,4,56,1055,10200,1800,1980,35.5,102.4
5,5,2012-09-01,37805.60000000001,189028.0,5681.0,0,6285,Foraker_1H,5,56,1055,10200,1800,1980,35.5,102.4
6,6,2012-10-01,33189.200000000004,165946.0,4879.0,0,4090,Foraker_1H,6,56,1055,10200,1800,1980,35.5,102.4
7,7,2012-11-01,29192.8,145964.0,4357.0,0,3980,Foraker_1H,7,56,1055,10200,1800,1980,35.5,102.4
8,8,2012-12-01,27593.599999999995,137968.0,4044.0,0,4180,Foraker_1H,8,56,1055,10200,1800,1980,35.5,102.4
9,9,2013-01-01,25531.0,127655.0,3636.0,0,4030,Foraker_1H,9,56,1055,10200,1800,1980,35.5,102.4
10,10,2013-02-01,21664.600000000006,108323.0,3079.5999999,0,3640,Foraker_1H,10,56,1055,10200,1800,1980,35.5,102.4
11,11,2013-03-01,22484.400000000005,112422.0,3026.5999999,0,4020,Foraker_1H,11,56,1055,10200,1800,1980,35.5,102.4
12,12,2013-04-01,20338.0,101690.0,2394.9,0,3390,Foraker_1H,12,56,1055,10200,1800,1980,35.5,102.4
13,13,2013-05-01,19983.6,99918.0,2791.4999999,0,2970,Foraker_1H,13,56,1055,10200,1800,1980,35.5,102.4
14,14,2013-06-01,17771.800000000007,88859.0,2454.5999999,0,3530,Foraker_1H,14,56,1055,10200,1800,1980,35.5,102.4
15,15,2013-07-01,18289.8,91449.0,1012.0,0,4650,Foraker_1H,15,56,1055,10200,1800,1980,35.5,102.4
16,16,2013-08-01,15181.000000000002,75905.0,749.2,0,4425,Foraker_1H,16,56,1055,10200,1800,1980,35.5,102.4
17,17,2013-09-01,12519.6,62598.0,1886.2999999,4980,0,Foraker_1H,17,56,1055,10200,1800,1980,35.5,102.4
18,18,2013-10-01,14477.8,72389.0,2203.5,3540,0,Foraker_1H,18,56,1055,10200,1800,1980,35.5,102.4
19,19,2013-11-01,13734.2,68671.0,2079.0,3000,0,Foraker_1H,19,56,1055,10200,1800,1980,35.5,102.4
20,20,2013-12-01,13859.800000000005,69299.0,2041.0,3010,0,Foraker_1H,20,56,1055,10200,1800,1980,35.5,102.4
21,21,2014-01-01,13527.0,67635.0,2018.0,2635,0,Foraker_1H,21,56,1055,10200,1800,1980,35.5,102.4
22,22,2014-02-01,11890.000000000002,59450.0,1805.0,2405,0,Foraker_1H,22,56,1055,10200,1800,1980,35.5,102.4
23,23,2014-03-01,12828.2,64141.0,1939.1,2755,0,Foraker_1H,23,56,1055,10200,1800,1980,35.5,102.4
24,24,2014-04-01,12142.999999999995,60715.0,1849.0,2700,0,Foraker_1H,24,56,1055,10200,1800,1980,35.5,102.4
25,25,2014-05-01,12183.800000000005,60919.0,1585.0,2790,0,Foraker_1H,25,56,1055,10200,1800,1980,35.5,102.4
26,26,2014-06-01,11547.6,57738.0,807.2999999,2700,0,Foraker_1H,26,56,1055,10200,1800,1980,35.5,102.4
27,27,2014-07-01,11742.4,58712.0,628.0,2790,0,Foraker_1H,27,56,1055,10200,1800,1980,35.5,102.4
28,28,2014-08-01,11476.000000000002,57380.0,593.0,2790,0,Foraker_1H,28,56,1055,10200,1800,1980,35.5,102.4
29,29,2014-09-01,10848.599999999997,54243.0,563.0,2700,0,Foraker_1H,29,56,1055,10200,1800,1980,35.5,102.4
30,30,2014-10-01,11024.4,55122.0,405.0,2790,0,Foraker_1H,30,56,1055,10200,1800,1980,35.5,102.4
31,31,2014-11-01,10437.2,52186.0,407.0,2700,0,Foraker_1H,31,56,1055,10200,1800,1980,35.5,102.4
32,32,2014-12-01,10472.000000000002,52360.0,377.0,2790,0,Foraker_1H,32,56,1055,10200,1800,1980,35.5,102.4
33,33,2015-01-01,10296.400000000003,51482.0,359.0,2790,0,Foraker_1H,33,56,1055,10200,1800,1980,35.5,102.4
34,34,2015-02-01,9081.6,45408.0,378.0,2430,0,Foraker_1H,34,56,1055,10200,1800,1980,35.5,102.4
35,35,2015-03-01,9841.8,49209.0,426.0,2480,0,Foraker_1H,35,56,1055,10200,1800,1980,35.5,102.4
36,36,2015-04-01,9353.6,46768.0,293.0,2400,0,Foraker_1H,36,56,1055,10200,1800,1980,35.5,102.4
37,37,2015-05-01,9522.999999999998,47615.0,261.0,2480,0,Foraker_1H,37,56,1055,10200,1800,1980,35.5,102.4
38,38,2015-06-01,9093.8,45469.0,176.29999990000002,2400,0,Foraker_1H,38,56,1055,10200,1800,1980,35.5,102.4
39,39,2015-07-01,9109.6,45548.0,598.0,2480,0,Foraker_1H,39,56,1055,10200,1800,1980,35.5,102.4
40,40,2015-08-01,9070.4,45352.0,5524.0,2480,0,Foraker_1H,40,56,1055,10200,1800,1980,35.5,102.4
41,41,2015-09-01,659.2,3296.0,930.0,14580,0,Foraker_1H,41,56,1055,10200,1800,1980,35.5,102.4
42,42,2015-10-01,0.0,0.0,0.0,15500,0,Foraker_1H,42,56,1055,10200,1800,1980,35.5,102.4
43,43,2015-11-01,1478.7999999999995,7394.0,317.0,14820,1000,Foraker_1H,43,56,1055,10200,1800,1980,35.5,102.4
44,44,2015-12-01,2146.4,10732.0,1160.0,12500,7950,Foraker_1H,44,56,1055,10200,1800,1980,35.5,102.4
45,45,2016-01-01,6562.600000000002,32813.0,2633.0,3100,13950,Foraker_1H,45,56,1055,10200,1800,1980,35.5,102.4
46,46,2016-02-01,6339.6,31698.0,1856.0,2900,13050,Foraker_1H,46,56,1055,10200,1800,1980,35.5,102.4
47,47,2016-03-01,6668.199999999999,33341.0,1500.0,3100,13950,Foraker_1H,47,56,1055,10200,1800,1980,35.5,102.4
48,48,2016-04-01,6140.200000000002,30701.0,1197.0,3000,13500,Foraker_1H,48,56,1055,10200,1800,1980,35.5,102.4
49,49,2016-05-01,6007.5999999999985,30038.0,1005.0,3100,13950,Foraker_1H,49,56,1055,10200,1800,1980,35.5,102.4
50,50,2016-06-01,5731.000000000001,28655.0,765.0,3000,13500,Foraker_1H,50,56,1055,10200,1800,1980,35.5,102.4
51,51,2016-07-01,5626.600000000001,28133.0,920.0,3100,13950,Foraker_1H,51,56,1055,10200,1800,1980,35.5,102.4
52,52,2016-08-01,5449.6,27248.0,951.0,3100,13950,Foraker_1H,52,56,1055,10200,1800,1980,35.5,102.4
53,53,2016-09-01,5286.5999999999985,26433.0,955.0,3000,13500,Foraker_1H,53,56,1055,10200,1800,1980,35.5,102.4
54,54,2016-10-01,3134.0,15670.0,796.0,10320,1800,Foraker_1H,54,56,1055,10200,1800,1980,35.5,102.4
55,55,2016-11-01,5242.5999999999985,26213.0,650.0,2345,13050,Foraker_1H,55,56,1055,10200,1800,1980,35.5,102.4
56,56,2016-12-01,5345.210511399999,26726.0525595,629.0,2945,13950,Foraker_1H,56,56,1055,10200,1800,1980,35.5,102.4
57,57,2017-01-01,5101.707849599999,25508.5392493,542.0,2945,13950,Foraker_1H,57,56,1055,10200,1800,1980,35.5,102.4
58,58,2017-02-01,4274.6158359,21373.079181,505.0,2660,12600,Foraker_1H,58,56,1055,10200,1800,1980,35.5,102.4
59,59,2017-03-01,4720.839317399998,23604.196587100007,673.0,3025,13950,Foraker_1H,59,56,1055,10200,1800,1980,35.5,102.4
60,60,2017-04-01,4448.7616383,22243.808191,334.0,3000,13500,Foraker_1H,60,56,1055,10200,1800,1980,35.5,102.4
61,61,2017-05-01,2919.25474403,14596.273720500001,185.0,12010,12100,Foraker_1H,61,56,1055,10200,1800,1980,35.5,102.4
62,62,2017-06-01,4385.819795109999,21929.0989761,256.0,6000,10050,Foraker_1H,62,56,1055,10200,1800,1980,35.5,102.4
63,63,2017-07-01,4635.1740613,23175.870307099998,348.0,6200,20150,Foraker_1H,63,56,1055,10200,1800,1980,35.5,102.4
64,64,2017-08-01,4824.4301789,24122.1508945,632.0999995,3420,14290,Foraker_1H,64,56,1055,10200,1800,1980,35.5,102.4
65,65,2017-09-01,4369.5619627999995,21847.809812900006,681.9999991000002,3000,12250,Foraker_1H,65,56,1055,10200,1800,1980,35.5,102.4
66,66,2017-10-01,4732.962619100002,23664.8130961,590.2999987000002,3100,17050,Foraker_1H,66,56,1055,10200,1800,1980,35.5,102.4
67,67,2017-11-01,4523.8838971000005,22619.419485,498.09999880000015,3000,16500,Foraker_1H,67,56,1055,10200,1800,1980,35.5,102.4
68,68,2017-12-01,4527.174880499999,22635.8744027,482.29999910000015,3100,8500,Foraker_1H,68,56,1055,10200,1800,1980,35.5,102.4
69,69,2018-01-01,4396.0,21980.0,429.19999910000007,3100,3100,Foraker_1H,69,56,1055,10200,1800,1980,35.5,102.4
70,70,2018-02-01,3858.5694198,19292.847099000002,390.9999988000001,2680,5200,Foraker_1H,70,56,1055,10200,1800,1980,35.5,102.4
71,71,2018-03-01,4133.4099659,20667.049829400003,367.19999880000006,2450,14300,Foraker_1H,71,56,1055,10200,1800,1980,35.5,102.4
72,72,2018-04-01,3834.10853245,19170.5426621,485.19999890000014,3410,5600,Foraker_1H,72,56,1055,10200,1800,1980,35.5,102.4
73,73,2018-05-01,4266.087508500002,21330.4375426,448.99999860000014,2640,3825,Foraker_1H,73,56,1055,10200,1800,1980,35.5,102.4
74,74,2018-06-01,4142.5923549,20712.9617747,473.99999890000015,2275,3000,Foraker_1H,74,56,1055,10200,1800,1980,35.5,102.4
75,75,2018-07-01,3867.2,19336.0,482.2999990000001,2739,4000,Foraker_1H,75,56,1055,10200,1800,1980,35.5,102.4
76,76,2018-08-01,3684.400000000001,18422.0,475.0999994000002,3484,4124,Foraker_1H,76,56,1055,10200,1800,1980,35.5,102.4
77,77,2018-09-01,2558.5999999999995,12793.0,323.2999994000001,8349,3507,Foraker_1H,77,56,1055,10200,1800,1980,35.5,102.4
78,78,2018-10-01,3497.1590446200007,17485.795221700002,352.2999993,3294,21093,Foraker_1H,78,56,1055,10200,1800,1980,35.5,102.4
79,79,2018-11-01,3810.552901230001,19052.7645051,505.49999890000015,2418,22685,Foraker_1H,79,56,1055,10200,1800,1980,35.5,102.4
80,80,2018-12-01,3561.306211789999,17806.531058,451.0999993,2883,22940,Foraker_1H,80,56,1055,10200,1800,1980,35.5,102.4
81,81,2019-01-01,3441.634129590001,17208.170648299994,395.2,2817,25150,Foraker_1H,81,56,1055,10200,1800,1980,35.5,102.4
82,82,2019-02-01,3410.4451878,17052.225939199998,427.69999989999997,1890,23400,Foraker_1H,82,56,1055,10200,1800,1980,35.5,102.4
83,83,2019-03-01,3435.40709921,17177.0354951,413.1,2455,25981,Foraker_1H,83,56,1055,10200,1800,1980,35.5,102.4
84,84,2019-04-01,3310.6268978700004,16553.134489099994,333.0,2527,24405,Foraker_1H,84,56,1055,10200,1800,1980,35.5,102.4
85,85,2019-05-01,3616.9955555,18084.9777787,404.0,1840,25500,Foraker_1H,85,56,1055,10200,1800,1980,35.5,102.4
86,86,2019-06-01,3391.592679400001,16957.963395799998,394.0,1734,25230,Foraker_1H,86,56,1055,10200,1800,1980,35.5,102.4
87,87,2019-07-01,3232.56189441,16162.809470699995,440.0,1705,24510,Foraker_1H,87,56,1055,10200,1800,1980,35.5,102.4
88,88,2019-08-01,3264.0483253700004,16320.2416265,526.0,2219,23520,Foraker_1H,88,56,1055,10200,1800,1980,35.5,102.4
89,89,2019-09-01,3134.2442164799986,15671.221081099999,521.0,1735,21938,Foraker_1H,89,56,1055,10200,1800,1980,35.5,102.4
90,90,2019-10-01,3910.33519482,19551.6759749,923.0,2240,21708,Foraker_1H,90,56,1055,10200,1800,1980,35.5,102.4
91,91,2019-11-01,3852.6917157,19263.458579000006,712.0,1565,17701,Foraker_1H,91,56,1055,10200,1800,1980,35.5,102.4
92,92,2019-12-01,3836.82001693,19184.100085400005,690.0,1600,18150,Foraker_1H,92,56,1055,10200,1800,1980,35.5,102.4
93,93,2020-01-01,3581.1133396499986,17905.5666993,661.0,2549,18554,Foraker_1H,93,56,1055,10200,1800,1980,35.5,102.4
94,94,2020-02-01,3169.4778436600013,15847.389218900002,574.0,1592,19402,Foraker_1H,94,56,1055,10200,1800,1980,35.5,102.4
95,95,2020-03-01,3335.0441491399993,16675.220745900002,629.0,2140,19026,Foraker_1H,95,56,1055,10200,1800,1980,35.5,102.4
96,96,2020-04-01,3434.76168941,17173.8084469,601.0,1758,19461,Foraker_1H,96,56,1055,10200,1800,1980,35.5,102.4
97,97,2020-05-01,3340.8082496300012,16704.041247999998,464.0,2189,17673,Foraker_1H,97,56,1055,10200,1800,1980,35.5,102.4
98,98,2020-06-01,3078.209418430001,15391.047092699995,523.0,1592,17795,Foraker_1H,98,56,1055,10200,1800,1980,35.5,102.4
99,99,2020-07-01,2793.28769939,13966.438496400002,494.0,1636,17956,Foraker_1H,99,56,1055,10200,1800,1980,35.5,102.4
100,100,2020-08-01,3303.5078458000007,16517.539230599996,609.0,1899,19057,Foraker_1H,100,56,1055,10200,1800,1980,35.5,102.4
101,101,2020-09-01,3430.7927276999994,17153.9636395,577.0,1365,18213,Foraker_1H,101,56,1055,10200,1800,1980,35.5,102.4
102,102,2020-10-01,3443.5722989,17217.8614944,526.0,1480,18885,Foraker_1H,102,56,1055,10200,1800,1980,35.5,102.4
103,103,2020-11-01,3115.0034615399995,15575.017308399998,457.0,1387,18153,Foraker_1H,103,56,1055,10200,1800,1980,35.5,102.4
104,0,2012-04-01,12781.4,63907.0,11828.0,0,3545,Foraker_2H,0,45,1289,9600,1400,1540,35.2,103.35
105,1,2012-05-01,42059.6,210298.0,8581.3999998,0,7590,Foraker_2H,1,45,1289,9600,1400,1540,35.2,103.35
106,2,2012-06-01,39746.60000000001,198733.0,4054.2999993,0,6715,Foraker_2H,2,45,1289,9600,1400,1540,35.2,103.35
107,3,2012-07-01,19197.2,95986.0,1093.0,0,36745,Foraker_2H,3,45,1289,9600,1400,1540,35.2,103.35
108,4,2012-08-01,34803.400000000016,174017.0,2994.8,0,23555,Foraker_2H,4,45,1289,9600,1400,1540,35.2,103.35
109,5,2012-09-01,36379.8,181899.0,2852.0,0,5075,Foraker_2H,5,45,1289,9600,1400,1540,35.2,103.35
110,6,2012-10-01,32492.6,162463.0,2416.0,0,4050,Foraker_2H,6,45,1289,9600,1400,1540,35.2,103.35
111,7,2012-11-01,28815.4,144077.0,2058.0,0,4280,Foraker_2H,7,45,1289,9600,1400,1540,35.2,103.35
112,8,2012-12-01,26955.8,134779.0,1932.0,0,4790,Foraker_2H,8,45,1289,9600,1400,1540,35.2,103.35
113,9,2013-01-01,22893.6,114468.0,1490.0,0,8000,Foraker_2H,9,45,1289,9600,1400,1540,35.2,103.35
114,10,2013-02-01,20595.2,102976.0,1380.6,0,7280,Foraker_2H,10,45,1289,9600,1400,1540,35.2,103.35
115,11,2013-03-01,22356.8,111784.0,1531.2,0,7750,Foraker_2H,11,45,1289,9600,1400,1540,35.2,103.35
116,12,2013-04-01,19178.4,95892.0,1254.2999999,0,6550,Foraker_2H,12,45,1289,9600,1400,1540,35.2,103.35
117,13,2013-05-01,15495.4,77477.0,856.8999997999998,0,9300,Foraker_2H,13,45,1289,9600,1400,1540,35.2,103.35
118,14,2013-06-01,16322.4,81612.0,1005.4999999,0,10550,Foraker_2H,14,45,1289,9600,1400,1540,35.2,103.35
119,15,2013-07-01,18234.6,91173.0,1233.5,0,10240,Foraker_2H,15,45,1289,9600,1400,1540,35.2,103.35
120,16,2013-08-01,13285.8,66429.0,972.0,1280,7680,Foraker_2H,16,45,1289,9600,1400,1540,35.2,103.35
121,17,2013-09-01,17372.399999999998,86862.0,1202.9,7540,0,Foraker_2H,17,45,1289,9600,1400,1540,35.2,103.35
122,18,2013-10-01,17574.4,87872.0,262.1999999,4195,0,Foraker_2H,18,45,1289,9600,1400,1540,35.2,103.35
123,19,2013-11-01,16199.4,80997.0,820.0,2400,0,Foraker_2H,19,45,1289,9600,1400,1540,35.2,103.35
124,20,2013-12-01,16095.4,80477.0,918.0,2550,0,Foraker_2H,20,45,1289,9600,1400,1540,35.2,103.35
125,21,2014-01-01,15638.399999999998,78192.0,883.6,2635,0,Foraker_2H,21,45,1289,9600,1400,1540,35.2,103.35
126,22,2014-02-01,13724.199999999995,68621.0,762.0,2805,0,Foraker_2H,22,45,1289,9600,1400,1540,35.2,103.35
127,23,2014-03-01,14777.0,73885.0,807.1999999,3210,0,Foraker_2H,23,45,1289,9600,1400,1540,35.2,103.35
128,24,2014-04-01,13906.800000000005,69534.0,754.6999999,3000,0,Foraker_2H,24,45,1289,9600,1400,1540,35.2,103.35
129,25,2014-05-01,14009.999999999995,70050.0,715.0,3100,0,Foraker_2H,25,45,1289,9600,1400,1540,35.2,103.35
130,26,2014-06-01,13265.600000000002,66328.0,663.0,3000,0,Foraker_2H,26,45,1289,9600,1400,1540,35.2,103.35
131,27,2014-07-01,13420.2,67101.0,647.0,3100,0,Foraker_2H,27,45,1289,9600,1400,1540,35.2,103.35
132,28,2014-08-01,13017.8,65089.0,691.0,3100,0,Foraker_2H,28,45,1289,9600,1400,1540,35.2,103.35
133,29,2014-09-01,12424.6,62123.0,619.0,3000,0,Foraker_2H,29,45,1289,9600,1400,1540,35.2,103.35
